x,y,u,v,p
0.875,0.005,0.005279843,0.000408511,0.1077945
0.885,0.005,0.004277228,0.000351683,0.1077946
0.895,0.005,0.00341577,0.000300014,0.1078028
0.905,0.005,0.002681632,0.000254257,0.107816
0.915,0.005,0.002059532,0.000214614,0.107832
0.925,0.005,0.001534251,0.00018072,0.1078493
0.935,0.005,0.001092248,0.000151548,0.1078671
0.945,0.005,0.000723533,0.00012531,0.1078852
0.955,0.005,0.000423607,9.94697E-05,0.1079033
0.965,0.005,0.000194839,7.11655E-05,0.1079212
0.975,0.005,4.55904E-05,3.85709E-05,0.107938
0.985,0.005,-1.69589E-05,4.84874E-06,0.1079512
0.995,0.005,-1.05084E-05,-1.05044E-05,0.1079575
1,0.005,0,0,0.1079581
0,0.015,0,0,0.1195847
0.005,0.015,4.30431E-05,-5.77836E-05,0.1195865
0.015,0.015,0.000306797,-0.000313312,0.1195955
0.025,0.015,0.00087713,-0.000599545,0.1196044
0.035,0.015,0.001722984,-0.000823439,0.1196084
0.045,0.015,0.002761595,-0.000956036,0.1196042
0.055,0.015,0.003891389,-0.000993671,0.1195897
0.065,0.015,0.005013041,-0.000946817,0.1195642
0.075,0.015,0.006043015,-0.000835187,0.1195287
0.085,0.015,0.006921764,-0.00068348,0.1194848
0.095,0.015,0.007617088,-0.000517121,0.1194344
0.105,0.015,0.008123066,-0.000358493,0.1193797
0.115,0.015,0.008455393,-0.000224203,0.1193221
0.125,0.015,0.00864431,-0.0001236,0.1192624
0.135,0.015,0.008726418,-5.85006E-05,0.1192007
0.145,0.015,0.0087366,-2.39061E-05,0.1191364
0.155,0.015,0.008701102,-9.52351E-06,0.1190681
0.165,0.015,0.008632615,-1.86366E-06,0.1189941
0.175,0.015,0.008527899,1.33519E-05,0.1189123
0.185,0.015,0.008368092,4.88888E-05,0.1188205
0.195,0.015,0.008121285,0.000114321,0.1187167
0.205,0.015,0.007746403,0.000215413,0.1185986
0.215,0.015,0.007197143,0.000354677,0.1184646
0.225,0.015,0.006424893,0.000532739,0.1183125
0.235,0.015,0.005380142,0.000749851,0.1181404
0.245,0.015,0.004012641,0.001006871,0.1179463
0.255,0.015,0.002271093,0.00130538,0.1177281
0.265,0.015,0.000103249,0.001647073,0.1174834
0.275,0.015,-0.002543057,0.002032817,0.1172102
0.285,0.015,-0.0057178,0.002461762,0.1169066
0.295,0.015,-0.009465829,0.002930718,0.1165711
0.305,0.015,-0.0138234,0.003433787,0.1162027
0.315,0.015,-0.01881455,0.003962203,0.1158017
0.325,0.015,-0.0244475,0.004504356,0.1153689
0.335,0.015,-0.03071163,0.005046003,0.1149071
0.345,0.015,-0.037575,0.005570722,0.1144204
0.355,0.015,-0.04498308,0.006060562,0.1139148
