x,y,u,v,p
0.336667,0.01,-0.01452502,0.00320842,0.115267
0.343333,0.01,-0.01934479,0.003661856,0.114937
0.35,0.01,-0.02470967,0.004127177,0.1145814
0.356667,0.01,-0.03054944,0.004583991,0.1142002
0.363333,0.01,-0.03701857,0.005045363,0.1137955
0.37,0.01,-0.04396969,0.005488408,0.1133708
0.376667,0.01,-0.05127132,0.005894618,0.1129298
0.383333,0.01,-0.05907053,0.006266658,0.1124766
0.39,0.01,-0.06716581,0.006587875,0.1120182
0.396667,0.01,-0.07546914,0.006849614,0.1115607
0.403333,0.01,-0.08385075,0.007040353,0.1111127
0.41,0.01,-0.09233075,0.007157051,0.1106837
0.416667,0.01,-0.1007399,0.007195882,0.1102815
0.423333,0.01,-0.1089347,0.007159013,0.1099188
0.43,0.01,-0.1169065,0.007029966,0.109605
0.436667,0.01,-0.1245233,0.006819321,0.1093484
0.443333,0.01,-0.1316979,0.006535683,0.1091593
0.45,0.01,-0.1383149,0.006166077,0.1090533
0.456667,0.01,-0.1443454,0.005715127,0.1090313
0.463333,0.01,-0.149718,0.005191672,0.1091013
0.47,0.01,-0.1543494,0.004612509,0.1092748
0.476667,0.01,-0.1581648,0.003948106,0.1095545
0.483333,0.01,-0.1611591,0.003221596,0.1099385
0.49,0.01,-0.1633081,0.00245529,0.1104297
0.496667,0.01,-0.1644533,0.001611069,0.1110339
0.503333,0.01,-0.1646658,0.000717109,0.1117375
0.51,0.01,-0.1639221,-0.000221951,0.1125349
0.516667,0.01,-0.1621644,-0.00118119,0.113425
0.523333,0.01,-0.1593566,-0.00219289,0.1143882
0.53,0.01,-0.155554,-0.003227913,0.1154107
0.536667,0.01,-0.1507631,-0.004256478,0.1164769
0.543333,0.01,-0.1448838,-0.005308292,0.1175642
0.55,0.01,-0.1380405,-0.006349291,0.11865
0.556667,0.01,-0.1302842,-0.007356781,0.1197119
0.563333,0.01,-0.1215529,-0.008316698,0.1207163
0.57,0.01,-0.1119602,-0.009225858,0.1216412
0.576667,0.01,-0.1015999,-0.0100555,0.122461
0.583333,0.01,-0.09056158,-0.01076771,0.1231431
0.59,0.01,-0.07886708,-0.01137004,0.1236638
0.596667,0.01,-0.06669667,-0.01183478,0.1240106
0.603333,0.01,-0.05421332,-0.01213959,0.1241652
0.61,0.01,-0.04145452,-0.01227101,0.1241032
0.616667,0.01,-0.02862464,-0.01222764,0.1238401
